| Epoch: 98/2390 (408/408) | Loss: 5.9018 | 0.6 steps/s | Step: 64k | 
| Epoch: 99/2390 (408/408) | Loss: 5.8879 | 0.6 steps/s | Step: 65k | 
| Epoch: 100/2390 (408/408) | Loss: 5.9239 | 0.6 steps/s | Step: 65k | 
| Epoch: 101/2390 (408/408) | Loss: 5.7525 | 0.6 steps/s | Step: 66k | 
| Epoch: 102/2390 (408/408) | Loss: 5.8268 | 0.6 steps/s | Step: 66k | 
| Epoch: 103/2390 (408/408) | Loss: 5.8734 | 0.6 steps/s | Step: 66k | 
| Epoch: 104/2390 (408/408) | Loss: 5.7609 | 0.6 steps/s | Step: 67k | 
| Epoch: 105/2390 (408/408) | Loss: 5.7667 | 0.6 steps/s | Step: 67k | 
| Epoch: 106/2390 (408/408) | Loss: 5.9165 | 0.6 steps/s | Step: 68k | 
| Epoch: 107/2390 (408/408) | Loss: 6.0633 | 0.6 steps/s | Step: 68k | 
| Epoch: 108/2390 (408/408) | Loss: 5.8748 | 0.6 steps/s | Step: 68k | 
| Epoch: 109/2390 (408/408) | Loss: 6.0303 | 0.6 steps/s | Step: 69k | 
| Epoch: 110/2390 (408/408) | Loss: 5.9054 | 0.6 steps/s | Step: 69k | 
| Epoch: 111/2390 (408/408) | Loss: 5.8200 | 0.6 steps/s | Step: 70k | 
| Epoch: 112/2390 (408/408) | Loss: 5.7332 | 0.6 steps/s | Step: 70k | 
| Epoch: 113/2390 (408/408) | Loss: 5.7282 | 0.6 steps/s | Step: 70k | 
| Epoch: 114/2390 (408/408) | Loss: 5.9609 | 0.6 steps/s | Step: 71k | 
| Epoch: 115/2390 (408/408) | Loss: 5.9510 | 0.6 steps/s | Step: 71k | 
| Epoch: 116/2390 (408/408) | Loss: 5.7082 | 0.6 steps/s | Step: 72k | 
| Epoch: 117/2390 (408/408) | Loss: 5.7154 | 0.4 steps/s | Step: 72k | 
| Epoch: 118/2390 (408/408) | Loss: 5.8365 | 0.4 steps/s | Step: 73k | 
| Epoch: 119/2390 (408/408) | Loss: 6.0265 | 0.6 steps/s | Step: 73k | 
| Epoch: 120/2390 (408/408) | Loss: 5.9418 | 0.6 steps/s | Step: 73k | 
| Epoch: 121/2390 (408/408) | Loss: 5.7278 | 0.6 steps/s | Step: 74k | 
| Epoch: 122/2390 (408/408) | Loss: 5.7941 | 0.6 steps/s | Step: 74k | 
| Epoch: 123/2390 (408/408) | Loss: 5.7816 | 0.4 steps/s | Step: 75k | 
| Epoch: 124/2390 (408/408) | Loss: 5.9312 | 0.6 steps/s | Step: 75k | 
| Epoch: 125/2390 (408/408) | Loss: 5.7124 | 0.5 steps/s | Step: 75k | 
| Epoch: 126/2390 (408/408) | Loss: 5.8421 | 0.5 steps/s | Step: 76k | 
| Epoch: 127/2390 (408/408) | Loss: 5.8292 | 0.5 steps/s | Step: 76k | 
| Epoch: 128/2390 (408/408) | Loss: 5.8523 | 0.5 steps/s | Step: 77k | 
| Epoch: 129/2390 (408/408) | Loss: 6.0038 | 0.5 steps/s | Step: 77k | 
| Epoch: 130/2390 (408/408) | Loss: 5.9885 | 0.5 steps/s | Step: 77k | 
| Epoch: 131/2390 (408/408) | Loss: 6.1201 | 0.5 steps/s | Step: 78k | 
| Epoch: 132/2390 (408/408) | Loss: 5.9853 | 0.6 steps/s | Step: 78k | 
| Epoch: 133/2390 (408/408) | Loss: 5.8747 | 0.6 steps/s | Step: 79k | 
| Epoch: 134/2390 (408/408) | Loss: 5.8170 | 0.6 steps/s | Step: 79k | 
| Epoch: 135/2390 (408/408) | Loss: 5.8365 | 0.5 steps/s | Step: 79k | 
| Epoch: 136/2390 (408/408) | Loss: 5.8239 | 0.5 steps/s | Step: 80k | 
| Epoch: 137/2390 (408/408) | Loss: 5.8051 | 0.5 steps/s | Step: 80k | 
| Epoch: 138/2390 (408/408) | Loss: 5.7050 | 0.5 steps/s | Step: 81k | 
| Epoch: 139/2390 (408/408) | Loss: 5.6961 | 0.5 steps/s | Step: 81k | 
| Epoch: 140/2390 (408/408) | Loss: 5.8387 | 0.5 steps/s | Step: 82k | 
| Epoch: 141/2390 (408/408) | Loss: 5.7695 | 0.5 steps/s | Step: 82k | 
| Epoch: 142/2390 (408/408) | Loss: 5.8768 | 0.5 steps/s | Step: 82k | 
| Epoch: 143/2390 (408/408) | Loss: 5.8105 | 0.5 steps/s | Step: 83k | 
| Epoch: 144/2390 (408/408) | Loss: 5.7280 | 0.5 steps/s | Step: 83k | 
| Epoch: 145/2390 (408/408) | Loss: 5.6896 | 0.5 steps/s | Step: 84k | 
| Epoch: 146/2390 (408/408) | Loss: 5.8047 | 0.5 steps/s | Step: 84k | 
| Epoch: 147/2390 (408/408) | Loss: 5.6911 | 0.5 steps/s | Step: 84k | 
| Epoch: 148/2390 (408/408) | Loss: 5.6928 | 0.5 steps/s | Step: 85k | 
| Epoch: 149/2390 (408/408) | Loss: 5.6753 | 0.5 steps/s | Step: 85k | 
| Epoch: 150/2390 (408/408) | Loss: 5.6523 | 0.5 steps/s | Step: 86k | 
| Epoch: 151/2390 (408/408) | Loss: 5.9075 | 0.5 steps/s | Step: 86k | 
| Epoch: 152/2390 (408/408) | Loss: 5.8163 | 0.5 steps/s | Step: 86k | 
| Epoch: 153/2390 (408/408) | Loss: 5.8972 | 0.5 steps/s | Step: 87k | 
| Epoch: 154/2390 (408/408) | Loss: 5.6969 | 0.5 steps/s | Step: 87k | 
| Epoch: 155/2390 (408/408) | Loss: 5.6599 | 0.4 steps/s | Step: 88k | 
| Epoch: 156/2390 (408/408) | Loss: 5.6698 | 0.5 steps/s | Step: 88k | 
| Epoch: 157/2390 (408/408) | Loss: 5.8775 | 0.4 steps/s | Step: 88k | 
| Epoch: 158/2390 (408/408) | Loss: 5.7842 | 0.5 steps/s | Step: 89k | 
| Epoch: 159/2390 (408/408) | Loss: 5.8608 | 0.5 steps/s | Step: 89k | 
| Epoch: 160/2390 (408/408) | Loss: 5.7420 | 0.4 steps/s | Step: 90k | 
| Epoch: 161/2390 (408/408) | Loss: 5.9470 | 0.4 steps/s | Step: 90k | 
| Epoch: 162/2390 (408/408) | Loss: 5.8484 | 0.4 steps/s | Step: 90k | 
| Epoch: 163/2390 (408/408) | Loss: 5.7597 | 0.4 steps/s | Step: 91k | 
| Epoch: 164/2390 (408/408) | Loss: 5.7635 | 0.4 steps/s | Step: 91k | 
| Epoch: 165/2390 (408/408) | Loss: 5.8920 | 0.4 steps/s | Step: 92k | 
| Epoch: 166/2390 (408/408) | Loss: 5.6376 | 0.5 steps/s | Step: 92k | 
| Epoch: 167/2390 (408/408) | Loss: 5.6479 | 0.5 steps/s | Step: 93k | 
| Epoch: 168/2390 (408/408) | Loss: 5.9581 | 0.5 steps/s | Step: 93k | 
| Epoch: 169/2390 (408/408) | Loss: 5.8888 | 0.6 steps/s | Step: 93k | 
| Epoch: 170/2390 (408/408) | Loss: 5.6319 | 0.6 steps/s | Step: 94k | 
| Epoch: 171/2390 (408/408) | Loss: 5.5820 | 0.6 steps/s | Step: 94k | 
| Epoch: 172/2390 (408/408) | Loss: 5.6401 | 0.6 steps/s | Step: 95k | 
| Epoch: 173/2390 (408/408) | Loss: 5.6329 | 0.6 steps/s | Step: 95k | 
| Epoch: 174/2390 (408/408) | Loss: 5.6529 | 0.6 steps/s | Step: 95k | 
| Epoch: 175/2390 (408/408) | Loss: 5.6488 | 0.6 steps/s | Step: 96k | 
| Epoch: 176/2390 (408/408) | Loss: 5.6771 | 0.6 steps/s | Step: 96k | 
| Epoch: 177/2390 (408/408) | Loss: 5.7809 | 0.6 steps/s | Step: 97k | 
| Epoch: 178/2390 (408/408) | Loss: 5.6379 | 0.6 steps/s | Step: 97k | 
| Epoch: 179/2390 (408/408) | Loss: 5.9455 | 0.6 steps/s | Step: 97k | 
| Epoch: 180/2390 (408/408) | Loss: 5.7283 | 0.6 steps/s | Step: 98k | 
| Epoch: 181/2390 (408/408) | Loss: 5.7184 | 0.6 steps/s | Step: 98k | 
| Epoch: 182/2390 (408/408) | Loss: 5.8323 | 0.6 steps/s | Step: 99k | 
| Epoch: 183/2390 (408/408) | Loss: 5.7386 | 0.6 steps/s | Step: 99k | 
| Epoch: 184/2390 (408/408) | Loss: 5.7376 | 0.6 steps/s | Step: 99k | 
| Epoch: 185/2390 (408/408) | Loss: 5.8916 | 0.6 steps/s | Step: 100k | 
| Epoch: 186/2390 (408/408) | Loss: 5.7283 | 0.6 steps/s | Step: 100k | 
| Epoch: 187/2390 (408/408) | Loss: 5.7219 | 0.6 steps/s | Step: 101k | 
| Epoch: 188/2390 (408/408) | Loss: 5.8889 | 0.6 steps/s | Step: 101k | 
| Epoch: 189/2390 (408/408) | Loss: 5.8513 | 0.6 steps/s | Step: 102k | 
| Epoch: 190/2390 (408/408) | Loss: 5.6560 | 0.6 steps/s | Step: 102k | 
| Epoch: 191/2390 (408/408) | Loss: 5.6086 | 0.6 steps/s | Step: 102k | 
| Epoch: 192/2390 (408/408) | Loss: 5.7132 | 0.6 steps/s | Step: 103k | 
| Epoch: 193/2390 (408/408) | Loss: 5.7231 | 0.6 steps/s | Step: 103k | 
| Epoch: 194/2390 (408/408) | Loss: 5.7167 | 0.6 steps/s | Step: 104k | 
| Epoch: 195/2390 (408/408) | Loss: 5.7168 | 0.6 steps/s | Step: 104k | 
| Epoch: 196/2390 (408/408) | Loss: 5.8129 | 0.6 steps/s | Step: 104k | 
